COND,Car Model,trip_energy_Wh,trip_rows,trip_distance_km,wh_per_km_raw
5.0,Porsche Taycan,155.66210722087789,2828.0,68.90000000000146,2.2592468391999216
6.0,Porsche Taycan,289.04548473081843,3221.0,76.0,3.8032300622476107
7.0,Porsche Taycan,8138.457740901946,3163.0,76.20000000000073,106.80390736091691
8.0,Porsche Taycan,7001.410261087593,2999.0,76.20000000000073,91.88202442372082
9.0,Porsche Taycan,96.53114789905105,794.0,88.40000000000146,1.0919813110752201
1.0,Hyundai IONIQ 5 ,339.23622291198615,2952.0,76.39999999999782,4.440264697800993
2.0,Hyundai IONIQ 5 ,283.1561737370538,2667.0,75.79999999999927,3.7355695743675
3.0,Hyundai IONIQ 5 ,378.7629264467897,2652.0,76.29999999999927,4.964127476366885
4.0,Hyundai IONIQ 5 ,336.0475637823003,3001.0,76.0,4.4216784708197405
5.0,Hyundai IONIQ 5 ,163.16389552067923,2828.0,68.90000000000146,2.368126204944496
6.0,Hyundai IONIQ 5 ,302.9753876094121,3221.0,76.0,3.9865182580185805
7.0,Hyundai IONIQ 5 ,8530.672571788788,3163.0,76.20000000000073,111.95108361927436
8.0,Hyundai IONIQ 5 ,7338.827623067719,2999.0,76.20000000000073,96.3100737935387
9.0,Hyundai IONIQ 5 ,101.18325141225833,794.0,88.40000000000146,1.1446069164282429
